name,surname,displayname,user,samaccountname,path,description,website,group,password,server
svc-vcf-ca,Account,svc-vcf-ca,svc-vcf-ca,svc-vcf-ca,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for SDDC manager to create CSRs and Signed Certificates.",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-wsa-ad,Account,svc-wsa-ad,svc-wsa-ad, svc-wsa-ad,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service Account used for perfroming Active Directory bind operations",weburl,Domain Users,VMware123!,vcfad.vcf.holo.lab
svc-vsphere-ad,Account,svc-vsphere-ad,svc-vsphere-ad,svc-vsphere-ad,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for connecting vSphere with Active directory using minimal permissions.",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vrops-vra,Account,svc-vrops-vra,svc-vrops-vra,svc-vrops-vra,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for collecting data in vRealize Operations Manager about the workloads in vRealize AutomationUsed for the vRealize Operations with vRealize Automation integration with minimum permissions.",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vra-vsphere,Account,svc-vra-vsphere,svc-vra-vsphere,svc-vra-vsphere,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for connecting vRealize Log Insight to vRealize Operations Manager for log forwarding, alerts, and for Launch in Context integration",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vra-nsx,Account,svc-vra-nsx,svc-vra-nsx,svc-vra-nsx,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for access from vRealize Automation to NSX Data Center.",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vra-vcf,Account,svc-vra-vcf,svc-vra-vcf,svc-vra-vcf,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for connecting vRealize Automation to SDDC Manager",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vro-vsphere,Account,svc-vro-vsphere,svc-vro-vsphere,svc-vro-vsphere,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for access from vRealize Orchestrator to vCenter Server",weburl,,VMware123!,vcfad.vcf.holo.lab
svc-vra-vrops,Account,svc-vra-vrops,svc-vra-vrops,svc-vra-vrops,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Service account for retrieving statistics from vRealize Operations Manager in vRealize Automation for workload reclamation",weburl,,VMware123!,vcfad.vcf.holo.lab
nsx-admin,Account,nsx-admin,nsx-admin,nsx-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","admin account for NSX Manager.  For use with IAM VVS",weburl,gg-nsx-enterprise-admins,VMware123!,vcfad.vcf.holo.lab
sddc-admin,Account,sddc-admin,sddc-admin,sddc-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","admin account for SDDC Manager.  For use with IAM VVS",weburl,gg-vcf-admins,VMware123!,vcfad.vcf.holo.lab
sddc-ops,Account,sddc-ops,sddc-ops,sddc-ops,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Operators account for SDDC Manager.  For use with IAM VVS",weburl,gg-vcf-operators,VMware123!,vcfad.vcf.holo.lab
sddc-ro,Account,sddc-ro,sddc-ro,sddc-ro,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Read Only account for SDDC Manager.  For use with IAM VVS",weburl,gg-vcf-read-only,VMware123!,vcfad.vcf.holo.lab
wsa-admin,Account,wsa-admin,wsa-admin,wsa-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Admin account for WSA Stand Alone Appliance.  For use with IAM VVS",weburl,gg-wsa-admins,VMware123!,vcfad.vcf.holo.lab
vrops-admin,Account,vrops-admin,vrops-admin,vrops-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Admin account for vROps.  For use with Intelligent Operations VVS",weburl,gg-vrops-admins,VMware123!,vcfad.vcf.holo.lab
vrli-admin,Account,vrli-admin,vrli-admin,vrli-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Admin account for vROps.  For use with Intelligent Operations VVS",weburl,gg-vrli-admins,VMware123!,vcfad.vcf.holo.lab
kub-admin,Account,kub-admin,kub-admin,kub-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Admin account for vROps.  For use with Dev Ready VVS",weburl,gg-kub-admins,VMware123!,vcfad.vcf.holo.lab
vra-ca-admin,Account,vra-ca-admin,vra-ca-admin,vra-ca-admin,"OU=Security Users,DC=vcf,DC=holo,DC=lab","Admin account for vROps.  For use with Private Cloud VVS",weburl,gg-vra-cloud-assembly-admins,VMware123!,vcfad.vcf.holo.lab
